Cities;Population
Jakarta;8,540,121
Surabaya;2,874,314
Bekasi;2,564,940
Bandung;2,444,160
Medan;2,435,252
Depok;2,056,400
Tangerang;1,911,914
Palembang;1,668,848
Semarang;1,653,524
Makassar;1,423,877
South Tangerang;1,365,688
Jepara;1,257,912
Bandar Lampung;1,166,066
Batam;1,164,352
Bogor;1,099,422
Pekanbaru;1,085,000
Padang;909,04
Malang;843,81
Samarinda;831,46
Denpasar;725,314
Balikpapan;695,287
Serang;692,101
Situbondo;685,967
Pontianak;658,685
Banjarmasin;657,663
Jambi City;606,2
Cimahi;568,4
Surakarta;522,364
Manado;451,916
Kupang;442,758
